Vivienda, Vivienda;;;;;Vivienda;Vivienda
Vivienda Multifamiliar, Vivienda Multifamiliar;;;;;Vivienda Multifamiliar;Vivienda Multifamiliar
Vivienda y Comercio, Vivienda y Comercio;;;;;Vivienda y Comercio;Vivienda y Comercio
Comercio o Servicio, Comercio o Servicio;;;;;Comercio o Servicio;Comercio o Servicio
Vivienda Multifamiliar y Comercio, Vivienda Multifamiliar y Comercio;;;;;Vivienda Multifamiliar y Comercio;Vivienda Multifamiliar y Comercio
Vivienda en Construcción, Vivienda en Construcción;;;;;Vivienda en Construcción;Vivienda en Construcción
Colegios Privados, Colegios Privados;;;;;Colegios Privados;Colegios Privados
Institutos, Institutos;;;;;Institutos;Institutos
Escuelas Oficiales, Escuelas Oficiales;;;;;Escuelas Oficiales;Escuelas Oficiales
Iglesia Católica, Iglesia Católica;;;;;Iglesia Católica;Iglesia Católica
Iglesia Evangélica, Iglesia Evangélica;;;;;Iglesia Evangélica;Iglesia Evangélica
Iglesia Adventista, Iglesia Adventista;;;;;Iglesia Adventista;Iglesia Adventista
Iglesia Mormona, Iglesia Mormona;;;;;Iglesia Mormona;Iglesia Mormona
Iglesia Testigos de Jehová, Iglesia Testigos de Jehová;;;;;Iglesia Testigos de Jehová;Iglesia Testigos de Jehová
Institución Gubernamental, Institución Gubernamental;;;;;Institución Gubernamental;Institución Gubernamental
Instituciones de Salud Pública (Nacional), Instituciones de Salud Pública (Nacional);;;;;Instituciones de Salud Pública (Nacional);Instituciones de Salud Pública (Nacional)
Biblioteca, Biblioteca;;;;;Biblioteca;Biblioteca
Gasolinera, Gasolinera;;;;;Gasolinera;Gasolinera
Industrias o Fábricas, Industrias o Fábricas;;;;;Industrias o Fábricas;Industrias o Fábricas
Teatros o Cines, Teatros o Cines;;;;;Teatros o Cines;Teatros o Cines
Bancos, Bancos;;;;;Bancos;Bancos
Edificio de Apartamentos, Edificio de Apartamentos;;;;;Edificio de Apartamentos;Edificio de Apartamentos
Edificio Comercial, Edificio Comercial;;;;;Edificio Comercial;Edificio Comercial
Edificio de Apartamentos y Comercio, Edificio de Apartamentos y Comercio;;;;;Edificio de Apartamentos y Comercio;Edificio de Apartamentos y Comercio
Hotel o Pensión, Hotel o Pensión;;;;;Hotel o Pensión;Hotel o Pensión
Aeropuerto, Aeropuerto;;;;;Aeropuerto;Aeropuerto
Centros Comerciales, Centros Comerciales;;;;;Centros Comerciales;Centros Comerciales
Mercados Municipales, Mercados Municipales;;;;;Mercados Municipales;Mercados Municipales
Museos o Sitios Arqueológicos, Museos o Sitios Arqueológicos;;;;;Museos o Sitios Arqueológicos;Museos o Sitios Arqueológicos
Salón de Usos Múltiples, Salón de Usos Múltiples;;;;;Salón de Usos Múltiples;Salón de Usos Múltiples
Universidad, Universidad;;;;;Universidad;Universidad
Bodega, Bodega;;;;;Bodega;Bodega
Bomberos, Bomberos;;;;;Bomberos;Bomberos
Municipalidad o Ayuntamiento, Municipalidad o Ayuntamiento;;;;;Municipalidad o Ayuntamiento;Municipalidad o Ayuntamiento
Reserva, Brigada o Complejo Militar, Reserva, Brigada o Complejo Militar;;;;;Reserva, Brigada o Complejo Militar;Reserva, Brigada o Complejo Militar
Plicía Nacional Civil, Plicía Nacional Civil;;;;;Plicía Nacional Civil;Plicía Nacional Civil
Instalaciones de Salud Privada, Instalaciones de Salud Privada;;;;;Instalaciones de Salud Privada;Instalaciones de Salud Privada
Estadio, Estadio;;;;;Estadio;Estadio
Asociaciones Benéficas, Asociaciones Benéficas;;;;;Asociaciones Benéficas;Asociaciones Benéficas
ONG's, ONG's;;;;;ONG's;ONG's
Coliseos, Coliseos;;;;;Coliseos;Coliseos
Planta de Tratamiento de Agua, Planta de Tratamiento de Agua;;;;;Planta de Tratamiento de Agua;Planta de Tratamiento de Agua
