Aldea, Aldea
Asentamiento, Asentamiento
Barrio, Barrio
Cantón, Cantón
Caserio, Caserio
Colonia, Colonia
Comunidad Agraria, Comunidad Agraria
Comunidad Indígena, Comunidad Indígena
Comunidad, Comunidad
Condominio, Condominio
Cuidad, Cuidad
Finca, Finca
Fraccionamiento, Fraccionamiento
Granja, Granja
Guardianía, Guardianía
Hacienda, Hacienda
Labor, Labor
Lotificación, Lotificación
Microparcelamiento, Microparcelamiento
Paraje, Paraje
Parcelamiento, Parcelamiento
Pueblo, Pueblo
Ranchería, Ranchería
Residencial, Residencial
Sector, Sector
Urbanización, Urbanización
Villa, Villa
Zona, Zona
